Area,Region,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q1 2017,Q1 2017,Q1 2017,Q1 2018,Q1 2018,Q1 2018,Q1 2018,Q1 2019,Q1 2019,Q1 2019,Q1 2019,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2021,Q1 2021,Q1 2021,Q1 2021,Q1 2022,Q1 2022,Q1 2022,Q1 2022,Q1 2023,Q1 2023,Q1 2023,Q1 2023,Q1 2024,Q1 2024,Q1 2024,Q1 2024,Q1 2025
509 Area,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viman Nagar,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kharadi,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vadgaon Sheri,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadapsar,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mundhwa,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koregaon Park,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalyani Nagar,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanwadi,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magarpatta,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shewalewadi,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manjari,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhekrainagar,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phursungi,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulla Nagar,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagholi,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandan Nagar,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagar Road,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikrapur,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonikand,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruli Kanchan,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loni Kalbhor,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talegaon Dhamdhere,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirur,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yavat,South East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balaji Nagar,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katraj,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinhagad Road,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vadgaon Budruk,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhayari,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narhe Gaon,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambegaon,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhankawadi,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibwewadi,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jambhulwadi,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khed Shivapur,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapurhol,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Indira Nagar,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kondhwa,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khadakwasla,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yewalewadi,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saswad,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jejuri,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satara Road,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketyard,South West Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kothrud,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erandwane,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paud Road,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karve Road,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karve Nagar,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warje,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttam Nagar,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bavdhan,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhugaon,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
